Origin Time (GMT),Latitude,Longitude,Depth (km),Magnitude (ML),Location
2018-06-25 08:21:55,40.7080,23.3213,7,4.2,32.7 km ENE of Thessaloniki
2016-08-06 05:17:01,40.6400,23.3500,14,4.0,30.5 km NNW of Poliyiros
2013-10-11 05:15:46,40.6900,23.3900,19,4.4,35.3 km N of Poliyiros
2006-05-10 07:01:42,40.5100,23.4700,15,4.0,15.3 km N of Poliyiros
2005-09-12 19:26:34,40.7100,23.3800,19,4.0,37.6 km ENE of Thessaloniki
2005-09-12 19:08:29,40.7200,23.3700,24,4.3,37.0 km ENE of Thessaloniki
2001-10-08 05:32:17,40.4500,23.0800,3,4.0,24.1 km SSE of Thessaloniki
2001-10-08 05:26:44,40.6200,23.1800,15,4.2,20.1 km E of Thessaloniki
2001-10-08 04:50:21,40.6400,23.1600,11,4.0,18.2 km E of Thessaloniki
1993-08-10 05:58:21,40.2700,23.0800,5,4.6,32.5 km WSW of Poliyiros
1993-07-25 01:00:21,40.5800,23.1900,6,4.0,21.8 km ESE of Thessaloniki
1986-02-18 05:34:41,40.8100,23.2600,5,4.1,32.6 km NE of Thessaloniki
1984-11-14 14:53:50,40.7400,23.3700,5,4.0,37.6 km ENE of Thessaloniki
1984-10-05 14:22:47,40.9900,23.3900,8,4.0,17.1 km SW of Serres
1984-02-19 03:47:23,40.5400,23.3900,16,4.3,18.9 km NNW of Poliyiros
1982-04-12 03:39:21,41.0000,23.4000,10,4.2,15.8 km SW of Serres
1981-03-02 21:37:49,40.4000,23.1000,10,4.2,28.8 km W of Poliyiros
1980-08-20 04:55:10,40.7000,23.2000,10,4.0,22.6 km ENE of Thessaloniki
1979-08-31 17:24:10,40.6000,23.4000,10,4.4,25.3 km N of Poliyiros
1979-05-11 01:46:27,40.7000,23.4000,10,4.3,36.3 km N of Poliyiros
1978-07-13 17:26:57,40.7000,23.2000,33,4.0,22.6 km ENE of Thessaloniki
1978-07-04 22:23:27,40.8000,23.2000,33,4.6,28.0 km NE of Thessaloniki
1978-06-23 19:58:27,40.9000,23.2000,33,4.0,29.5 km ESE of Kilkis
1978-06-23 01:57:01,40.8000,23.2000,33,4.1,28.0 km NE of Thessaloniki
1978-06-21 18:52:04,40.7000,23.3000,33,4.0,30.8 km ENE of Thessaloniki
1978-06-21 12:29:44,40.7000,23.2000,33,4.3,22.6 km ENE of Thessaloniki
1978-06-21 06:00:07,40.7000,23.4000,33,4.1,36.3 km N of Poliyiros
1978-06-21 03:20:26,40.7000,23.3000,33,4.0,30.8 km ENE of Thessaloniki
1978-06-20 21:51:04,40.7000,23.3000,33,4.2,30.8 km ENE of Thessaloniki
1978-06-20 20:45:21,40.7000,23.3000,33,4.1,30.8 km ENE of Thessaloniki
1978-06-20 20:37:38,40.7000,23.1000,33,4.0,14.7 km ENE of Thessaloniki
1978-06-20 20:03:21,40.8000,23.3000,33,6.0,34.9 km ENE of Thessaloniki
1978-06-19 10:48:12,40.6000,23.3000,33,4.2,27.7 km NNW of Poliyiros
1978-06-19 10:31:07,40.6000,23.3000,33,4.8,27.7 km NNW of Poliyiros
1978-06-19 03:12:42,40.8000,23.3000,33,4.1,34.9 km ENE of Thessaloniki
1978-06-12 23:36:42,40.7000,23.3000,33,4.8,30.8 km ENE of Thessaloniki
1978-06-12 17:44:45,40.7000,23.2000,33,4.1,22.6 km ENE of Thessaloniki
1978-05-26 05:53:18,40.7000,23.4000,33,4.0,36.3 km N of Poliyiros
1978-05-24 05:57:27,40.7000,23.4000,33,4.2,36.3 km N of Poliyiros
1978-05-24 02:12:28,40.7000,23.4000,33,4.1,36.3 km N of Poliyiros
1978-05-23 23:34:11,40.7000,23.3000,33,5.4,30.8 km ENE of Thessaloniki
1978-05-13 08:35:33,40.8000,23.4000,33,4.1,34.2 km SSW of Serres
1978-05-10 13:12:48,40.7000,23.4000,33,4.3,36.3 km N of Poliyiros
1978-05-08 14:38:54,40.7000,23.4000,33,4.2,36.3 km N of Poliyiros
